"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
183.000000, -136.263596, -119.132454, 0.000000, 0.000000, -88.939011, -12.314849, -131.731598, 45.494705
184.000000, -131.383682, -110.080231, 0.000000, 0.000000, -77.407265, -16.082800, -146.415207, 47.395260
185.000000, -137.250931, -96.810860, 0.000000, 0.000000, -78.516235, -10.461944, -144.180710, 48.439224
186.000000, -102.300789, -101.298996, 0.000000, 0.000000, -70.862946, -18.195431, -150.276443, 47.150810
187.000000, -153.669128, -94.119522, 0.000000, 0.000000, -81.224983, -16.403572, -137.122498, 48.568848
188.000000, -131.196564, -111.967766, 0.000000, 0.000000, -82.774330, -16.333918, -138.701248, 43.601387
189.000000, -117.730415, -99.800270, 0.000000, 0.000000, -75.983238, -22.087017, -147.105103, 40.943710
190.000000, -97.062691, -106.846428, 0.000000, 0.000000, -79.148743, -17.162239, -144.696930, 49.474731
191.000000, -145.955719, -110.770798, 0.000000, 0.000000, -77.813385, -18.567595, -143.302017, 44.066193
192.000000, -113.293587, -88.508026, 0.000000, 0.000000, -84.706650, -13.707743, -142.090714, 46.264404
193.000000, -133.723282, -103.172432, 0.000000, 0.000000, -85.215782, -15.292166, -140.598526, 45.735237
194.000000, -150.311951, -113.594620, 0.000000, 0.000000, -75.651054, -12.223312, -144.768448, 46.093243
195.000000, -137.270950, -90.532761, 0.000000, 0.000000, -74.146126, -13.239580, -147.344284, 50.739151
196.000000, -120.275169, -110.264740, 0.000000, 0.000000, -84.315994, -15.492853, -136.712250, 47.215256
197.000000, -129.001556, -96.719948, 0.000000, 0.000000, -79.947914, -18.905247, -137.949860, 43.040421
198.000000, -138.958359, -95.698730, 0.000000, 0.000000, -80.973228, -11.931446, -137.459381, 49.157051
199.000000, -120.023926, -100.029610, 0.000000, 0.000000, -82.947151, -11.238941, -140.943497, 45.133305
200.000000, -126.589867, -106.438484, 0.000000, 0.000000, -85.105515, -14.908265, -136.487656, 43.759781
201.000000, -122.344444, -93.351524, 0.000000, 0.000000, -79.939285, -17.160109, -143.782623, 43.224865
202.000000, -124.841011, -90.601204, 0.000000, 0.000000, -83.853706, -10.102554, -130.699615, 43.402435
