"Time (ps)", "Coul-SR:Water_and_ions-LIG", "LJ-SR:Water_and_ions-LIG", "Coul-14:Water_and_ions-LIG", "LJ-14:Water_and_ions-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
138.000000, -257.448059, -215.787216, 0.000000, 0.000000, 292.669922, -32.319683, -652.893127, 106.515961
139.000000, -324.550720, -188.551178, 0.000000, 0.000000, 295.630005, -43.779377, -659.586426, 102.112206
140.000000, -287.963989, -204.391800, 0.000000, 0.000000, 304.241364, -36.694839, -654.007874, 108.749542
141.000000, -316.815857, -175.027069, 0.000000, 0.000000, 297.237335, -37.803226, -657.803528, 99.750977
142.000000, -316.030090, -184.948318, 0.000000, 0.000000, 295.677521, -32.206543, -666.011230, 112.614655
143.000000, -316.463348, -208.725082, 0.000000, 0.000000, 293.799164, -37.245552, -650.360229, 107.656067
144.000000, -291.021332, -180.073318, 0.000000, 0.000000, 299.231995, -43.861465, -664.604614, 108.960312
145.000000, -312.271606, -197.303497, 0.000000, 0.000000, 294.969940, -39.012825, -654.477844, 102.952438
146.000000, -260.576111, -210.565979, 0.000000, 0.000000, 296.840485, -31.192919, -661.268311, 106.478157
147.000000, -257.817474, -192.885818, 0.000000, 0.000000, 279.192780, -40.475159, -645.752747, 100.756676
148.000000, -282.481201, -167.882294, 0.000000, 0.000000, 290.997711, -21.434614, -646.172729, 100.550644
149.000000, -297.203552, -208.081680, 0.000000, 0.000000, 282.992218, -40.229721, -640.184998, 96.010887
150.000000, -303.577148, -168.020111, 0.000000, 0.000000, 280.672363, -25.510345, -645.031616, 103.100945
151.000000, -267.626221, -215.030136, 0.000000, 0.000000, 281.710663, -32.292255, -639.521729, 93.793640
152.000000, -275.692078, -202.649673, 0.000000, 0.000000, 278.046814, -29.582510, -643.806091, 103.104019
153.000000, -296.656677, -199.834854, 0.000000, 0.000000, 277.317688, -42.244755, -634.657593, 96.517784
154.000000, -326.066620, -187.611191, 0.000000, 0.000000, 290.837311, -38.273140, -650.938232, 100.990074
155.000000, -301.026093, -207.820129, 0.000000, 0.000000, 290.575775, -35.116108, -659.020264, 102.216019
156.000000, -313.437805, -187.634872, 0.000000, 0.000000, 289.267639, -38.934731, -650.331665, 103.090103
157.000000, -334.686066, -180.732971, 0.000000, 0.000000, 300.186462, -36.279671, -660.137695, 98.743988
